barren	C
islands	N
reefs	C
coral	N
outcrops	C
believed	N
rich	N
oil	N
gas	N
overlapping	C
claims	N
long	N
feared	N
Asia	N
next	N
flashpoint	C
armed	N
conflict	C

China	N
Philippines	N
flexed	C
muscles	N
Wednesday	N

Del	N
Rosario	N
said	N
warned	N
China	N
ambassador	C
Philippines	N
challenged	C
prepared	N
secure	N
sovereignty	C

Philippine	N
navy	N
sending	N
additional	N
vessels	C
toward	N
shoal	C
lies	N
200	N
kilometers	N
124	N
miles	N
nearest	N
Philippine	N
coast	N
Philippine	N
navy	N
official	N
told	N
Associated	N
Press	N

spoke	N
condition	N
anonymity	C
lack	N
authority	C
discuss	N
situation	N
media	N

standoff	C
began	N
Sunday	N
Philippine	N
navy	N
surveillance	C
plane	N
spotted	N
eight	N
Chinese	N
fishing	N
vessels	N
anchored	C
lagoon	C
Scarborough	N
Philippine	N
Foreign	N
Affairs	N
Department	N
said	N

market	N
bracing	C
least	N
50	N
billion	N
euros	N
new	N
cash	N

ca	N
n't	N
put	N
number	N
low	N
15	N
billion	N
without	N
explanation	C
said	N
London-based	N
banking	N
analyst	N
want	N
named	N

ca	N
n't	N
put	N
number	N
low	N
15	N
billion	N
without	N
explanation	N
said	N
London-based	N
banking	N
analyst	C
want	N
named	N

Spanish	N
lenders	C
must	N
set	N
aside	C
30	N
billion	N
euros	N
top	N
54	N
billion	N
euros	N
ordered	N
February	N
provisions	C
loans	N
still	N
performing	C
well	N
bad	N
ones	N
defaults	C
rise	N
recession	C
sent	N
unemployment	C
24	N
percent	N

Spanish	N
government	N
source	C
said	N
30-billion	N
euro	N
provisions	C
would	N
impact	C
capital	C
20	N
billion	N
added	N
another	N
estimated	C
20	N
billion	N
euros	N
rescue	C
systemic	C
lender	N
Bankia	N
SA	N
smaller	N
banks	N
would	N
make	N
figure	N
investors	C
viewed	N
necessary	N

Western	N
powers	N
appetite	C
repeat	N
military	N
intervention	C
helped	N
Libyan	N
rebels	C
topple	C
long-time	N
ruler	C
Moammar	N
